date_time,temperature
2020-04-29 16:03:10.683082,24.125,24.437
2020-04-29 16:04:12.522219,24.125,24.437
2020-04-29 16:05:14.363112,24.125,24.437
2020-04-29 16:06:16.203038,24.125,24.437
2020-04-29 16:07:18.043107,24.125,24.437
2020-04-29 16:08:19.885559,24.125,24.437
2020-04-29 16:09:21.725390,24.125,24.437
2020-04-29 16:10:23.567586,24.187,24.437
2020-04-29 16:11:25.407519,24.187,24.437
2020-04-29 16:12:27.245584,24.187,24.437
2020-04-29 16:13:29.082996,24.187,24.437
2020-04-29 16:14:30.923038,24.187,24.437
2020-04-29 16:15:35.403082,24.187,24.437
2020-04-29 16:16:37.243106,24.187,24.437
2020-04-29 16:17:39.082084,24.187,24.437
2020-04-29 16:18:40.923125,24.187,24.437
2020-04-29 16:19:42.765359,24.187,24.437
2020-04-29 16:20:44.602122,24.187,24.437
2020-04-29 16:21:46.445556,24.187,24.437
2020-04-29 16:22:48.287325,24.187,24.437
2020-04-29 16:23:50.122101,24.25,24.437
2020-04-29 16:24:52.847370,24.25,24.437
2020-04-29 16:25:54.683072,24.25,24.437
2020-04-29 16:26:57.403510,24.25,24.437
2020-04-29 16:27:59.165235,24.25,24.437
2020-04-29 16:29:01.014639,24.25,24.437
2020-04-29 16:30:02.843024,24.25,24.437
2020-04-29 16:31:04.683094,24.25,24.437
2020-04-29 16:32:06.522116,24.25,24.437
2020-04-29 16:33:08.370779,24.25,24.437
2020-04-29 16:34:10.203092,24.25,24.437
2020-04-29 16:35:12.043807,24.25,24.437
2020-04-29 16:36:14.763089,24.25,24.437
2020-04-29 16:37:16.603088,24.25,24.437
2020-04-29 16:38:19.322997,24.25,24.437
2020-04-29 16:39:22.043105,24.25,24.437
2020-04-29 16:40:23.883080,24.25,24.437
2020-04-29 16:41:25.726052,24.312,24.437
2020-04-29 16:42:28.442119,24.25,24.437
2020-04-29 16:43:31.163080,24.25,24.437
2020-04-29 16:44:33.003051,24.312,24.437
2020-04-29 16:45:36.603092,24.312,24.437
2020-04-29 16:46:39.322101,24.312,24.437
2020-04-29 16:47:41.163072,24.312,24.437
2020-04-29 16:48:43.963088,24.312,24.437
2020-04-29 16:49:45.803047,24.312,24.437
2020-04-29 16:50:47.643105,24.312,24.437
2020-04-29 16:51:49.483061,24.312,24.437
2020-04-29 16:52:51.323048,24.312,24.437
2020-04-29 16:53:53.163112,24.312,24.437
2020-04-29 16:54:55.002116,24.312,24.437
2020-04-29 16:55:56.843063,24.312,24.437
2020-04-29 16:56:58.683129,24.312,24.437
2020-04-29 16:58:00.522167,24.312,24.437
2020-04-29 16:59:03.243117,24.312,24.437
2020-04-29 17:00:05.087384,24.312,24.437
2020-04-29 17:01:06.923018,24.312,24.437
2020-04-29 17:02:08.763136,24.312,24.437
2020-04-29 17:03:10.603026,24.312,24.437
2020-04-29 17:04:12.443192,24.312,24.437
2020-04-29 17:05:14.283048,24.312,24.437
2020-04-29 17:06:16.123072,24.375,24.437
2020-04-29 17:07:17.963143,24.375,24.437
2020-04-29 17:08:20.685618,24.375,24.437
2020-04-29 17:09:22.522146,24.375,24.437
2020-04-29 17:10:24.363092,24.375,24.437
2020-04-29 17:11:26.203151,24.375,24.437
2020-04-29 17:12:29.883045,24.375,24.437
2020-04-29 17:13:31.728223,24.375,24.437
2020-04-29 17:14:33.562157,24.375,24.437
2020-04-29 17:15:35.403103,24.375,24.437
2020-04-29 17:16:37.245622,24.375,24.437
2020-04-29 17:17:39.082057,24.375,24.437
2020-04-29 17:18:40.923059,24.375,24.437
2020-04-29 17:19:42.765505,24.375,24.437
2020-04-29 17:20:44.604782,24.375,24.437
2020-04-29 17:21:46.447031,24.375,24.437
2020-04-29 17:22:48.283065,24.375,24.437
2020-04-29 17:23:50.123825,24.375,24.437
2020-04-29 17:24:51.963117,24.437,24.437
